Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0Yup6SQDmHmYKG8Faigkqk,"Thendral Vandhu Theendumbothu (From ""Avatharam"")","Best Hits of Ilaiyaraja Vol-1","Ilaiyaraaja;S. Janaki",1991,321056,0,false,,2025-01-26T08:26:35Z,"tamil pop,telugu pop,kollywood,kannada pop,sandalwood","Music Masters Audio Video LLP",0.583,0.46,4,-11.509,0,0.035,0.751,0.000147,0.146,0.534,129.904,4
spotify:track:7xV3MCJ6YI3K4I6Jt1a9H7,"Osaka Osaka","Vanakkam Chennai (Original Motion Picture Soundtrack)","Anirudh Ravichander;Pragathi Guruprasad;Madhan Karky",2013-07-31,368106,59,false,,2025-01-25T14:39:19Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,tamil indie","Sony Music Entertainment India Pvt. Ltd.",0.283,0.613,5,-7.702,1,0.0581,0.471,0,0.104,0.386,78.154,3
spotify:track:7I2iaEOGWSfMOaTk8z4ZtD,"Boomi Enna Suthudhe","Ethir Neechal (Original Motion Picture Soundtrack)","Anirudh Ravichander;Dhanush",2012-12-15,262079,59,false,,2025-01-24T03:01:14Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.347,0.584,5,-6.279,0,0.0495,0.415,0,0.145,0.777,79.813,4
spotify:track:4By3eALOuClnA1u44Dqi0S,"Koondu Kulla","Chinna Gounder","S. P. Balasubrahmanyam;S. Janaki",1992-01-14,256509,55,false,,2025-01-21T06:37:59Z,"kannada pop,telugu pop,tamil pop,devotional,sandalwood,tollywood","Music Masters Audio Video LLP",0.715,0.461,6,-9.484,1,0.0325,0.868,0.00000123,0.109,0.826,108.748,4
spotify:track:3R5JHtwQX5DMVM4o0pbroU,"Poongatru Thirumbuma","Muthal Mariyathai (Original Motion Picture Soundtrack)","Malaysia Vasudevan;S. Janaki",1985,261851,0,false,,2025-01-21T06:19:05Z,"tamil pop,tamil dance,kannada pop,sandalwood,telugu pop","IMM",0.955,0.348,0,-10.03,0,0.0706,0.422,0.548,0.103,0.856,114.506,4
spotify:track:4YfwuGzOvwRGaBXnDUYoSC,"Aathangarai Maramea Adhil (Original Motion Picture Soundtrack)","Kizhakku Cheemayile (Original Motion Picture Soundtrack)","Mano;Sujatha Mohan",1993-07-12,292186,61,false,,2025-01-21T04:26:20Z,"tamil pop,kannada pop,tamil dance,telugu pop,malayalam pop,mollywood","V Creations",0.713,0.605,5,-8.76,1,0.0647,0.263,0,0.12,0.802,90.992,4
spotify:track:3p4vXmvE970zZSZUF0GUnT,"Dailamo Dailamo","Dishyum (Original Background Score)","Vijay Antony;Sangeetha Rajeshwaran",2006-01-25,267666,0,false,,2025-01-21T04:13:55Z,"tamil dance,kollywood,tamil pop","Saai Media",0.814,0.663,6,-7.802,0,0.0565,0.121,0,0.587,0.815,125.03,4
spotify:track:1Ol8VGogqxg13AgT4nsMuG,"Thangamey","Paava Kadhaigal (Original Motion Picture Soundtrack)","Murugavel",2021-01-18,185447,52,false,,2025-01-20T12:59:23Z,"","Zee Music Company",0.783,0.43,9,-10.959,1,0.0416,0.205,0.0000388,0.111,0.81,95.024,4
spotify:track:5vmPU8OB5VtLFrtO7FH8l3,"Dhinam oru kavithai","Dhinam oru kavithai","Sriram Srinivasan",2024-09-30,102000,54,false,,2025-01-20T12:50:14Z,"tamil indie","5033156 Records DK",0.623,0.0695,2,-17.632,1,0.0354,0.935,0,0.0889,0.502,119.988,4
spotify:track:6IGNcIPsXg6qSo1QyQdXiX,"Pachai Kiligal (From ""Indian"")","A.R. Rahman Favourite Songs Collection","K. J. Yesudas",1994-11-14,347859,28,false,,2025-01-19T19:51:00Z,"malayalam pop,devotional,mollywood,tamil pop","Music Masters Audio Video LLP",0.754,0.215,5,-20.544,1,0.034,0.215,0.00000131,0.0492,0.855,104.013,4
spotify:track:6ulyqB03CnyjcClkP6X2Vl,"Pottu Vaitha Oru Vatta Nila (From ""Idhayam"")","K. J. Yesudas Tamil Hits Collection Vol. 1","K. J. Yesudas",1992-07-12,286063,45,false,,2025-01-19T19:40:53Z,"malayalam pop,devotional,mollywood,tamil pop","Music Masters Audio Video LLP",0.628,0.368,4,-11.015,1,0.0334,0.526,0.0000136,0.163,0.463,107.048,3
spotify:track:6EwRpLL5QThnF2k1sZzQpC,"Kadhal Oru Aagayam","Imaikkaa Nodigal (Original Motion Picture Soundtrack)","Hiphop Tamizha;Teejay;Al Rufian",2018-06-27,161762,64,false,,2025-01-19T19:23:02Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie","Think Music",0.488,0.585,5,-4.39,0,0.0263,0.664,0,0.386,0.399,143.96,4
spotify:track:2gp0OtnltLdrcNhKHVL2qM,"Nee Nenacha","Mr. Local (Original Motion Picture Soundtrack)","Hiphop Tamizha;Sid Sriram",2019-05-13,268683,59,false,,2025-01-19T19:17:10Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie,tollywood,telugu pop","Think Music",0.329,0.408,0,-10.672,1,0.0629,0.575,0,0.115,0.408,182.961,4
spotify:track:4TaguSCE0VzCK5HCAObqre,"Athithom","Chandramukhi","S. P. Balasubrahmanyam;Vaishali",2005-03-15,275386,59,false,,2025-01-19T19:00:50Z,"kannada pop,telugu pop,tamil pop,devotional,sandalwood,tollywood,desi pop","Anak Audio",0.746,0.757,10,-3.415,1,0.132,0.452,0.00000216,0.0646,0.811,140.897,3
spotify:track:5KW8kOHmXqkDEdj6JyP3dJ,"Unna Nenachu (From ""Psycho (Tamil)"")","Unna Nenachu [From ""Psycho (Tamil)""]","Ilaiyaraaja;Sid Sriram;Kabilan",2019-11-18,275503,59,false,,2025-01-19T18:33:02Z,"tamil pop,telugu pop,kollywood,tollywood,tamil dance","Sony Music Entertainment India Pvt. Ltd.",0.331,0.235,4,-13.816,0,0.0411,0.891,0.00000298,0.107,0.252,82.511,4
spotify:track:2HqFDI6vgNmUcqLYlNZqE6,"Udhungada Sangu (From ""Velai Illa Pattadhaari"")","Velai Illa Pattadhaari (Original Motion Picture Soundtrack)","Anirudh Ravichander;Dhanush",2014-02-14,209640,68,false,,2025-01-19T18:31:32Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Divo Tv Private Limited",0.511,0.793,8,-6.22,1,0.0906,0.219,0,0.0576,0.784,116.757,4
spotify:track:5fqsWynhQRpoIVeRfRu4yQ,"Un Vizhigalil","Maan Karate (Original Motion Picture Soundtrack)","Anirudh Ravichander;Shruti Haasan;R.D. Raja",2014-03-16,243520,59,false,,2025-01-19T18:26:00Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop","Sony Music Entertainment India Pvt. Ltd.",0.502,0.625,0,-5.631,1,0.0309,0.379,0,0.198,0.442,80.217,4
spotify:track:5QmFXjtfG8OS5m7RlO9Tgx,"Nilaave Vaa","Mouna Ragam (Original Motion Picture Soundtrack)","S. P. Balasubrahmanyam",1986-08-15,277176,0,false,,2025-01-19T18:19:53Z,"kannada pop,telugu pop,tamil pop,devotional,sandalwood,tollywood","IMM",0.666,0.289,4,-10.493,1,0.0317,0.864,0.0677,0.138,0.548,111.924,4
spotify:track:18NWfZfWt7LG1mLzoXe849,"Kanne Kalaimaane","Moondram Pirai (Original Motion Picture Soundtrack)","K. J. Yesudas",1982,244906,0,false,,2025-01-19T18:11:16Z,"malayalam pop,devotional,mollywood,tamil pop","Imm",0.697,0.213,2,-14.761,1,0.0329,0.559,0.000843,0.319,0.778,108.83,4
spotify:track:7AH2SbY4kpTmvxp9zAsHDS,"Ennavale Adi Ennavale","Kaadhalan","Unnikrishnan;A.R. Rahman;Vairamuthu",2014-08-01,312032,0,false,,2025-01-19T17:56:07Z,"tamil pop,kollywood,bollywood,sufi,hindi pop,tamil dance","Lahari Music",0.612,0.33,3,-15.103,1,0.0348,0.556,0,0.108,0.419,97.014,3
spotify:track:6old0mA1IHi5lw2yLv3ri6,"Dhimu Dhimu","Engeyum Kadhal (Original Motion Picture Soundtrack)","Harris Jayaraj;Karthik;Na.Muthukumar",2010-11-11,329000,62,false,,2025-01-19T17:39:42Z,"tamil pop,kollywood,telugu pop,tamil dance,tollywood,kannada pop,malayalam pop,mollywood","Sony Music Entertainment India Pvt. Ltd.",0.643,0.478,0,-9.376,1,0.0274,0.569,0.000371,0.118,0.317,93.418,4
spotify:track:4iOJpwsMIbsuKLpsa8pTUq,"Poove Sem Poove - Male","Solla Thudikuthu Manasu (Original Motion Picture Soundtrack)","K. J. Yesudas",1984-12-30,333139,5,false,,2025-01-19T17:28:55Z,"malayalam pop,devotional,mollywood,tamil pop","IMM",0.676,0.424,2,-9.503,0,0.0305,0.859,0.00185,0.129,0.639,138.599,3
spotify:track:5gBa7yfdEUKrpJbhAygKRs,"Vaadi Pulla Vaadi - From ""Meesaya Murukku""","Vaadi Pulla Vaadi (From ""Meesaya Murukku"")","Hiphop Tamizha",2017-06-04,246725,53,false,,2025-01-18T13:40:16Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie","Think Music",0.472,0.937,9,-5.464,1,0.0639,0.375,0.000101,0.325,0.324,179.999,4
spotify:track:0dhhxdZHDtGavszjJCDx0j,"Ammi Mithichachi","Sillunu Oru Kadhal (Original Motion Picture Soundtrack)","Sirkazhi G. Sivachidambaram;Naresh Iyer;Vaali",2006-08-03,415005,49,false,,2025-01-18T05:49:30Z,"tamil pop,kollywood,tollywood,telugu pop,tamil dance","Star Music",0.828,0.861,0,-8.486,1,0.139,0.0454,0.0000102,0.0871,0.84,121.04,4
spotify:track:0Q1Ufw6btF1rv01xkB1y2v,"Un Vizhigalil","Darling (Original Motion Picture Soundtrack)","G. V. Prakash;Harini;Na.Muthukumar",2014-11-26,304645,0,false,,2025-01-17T18:06:36Z,"tamil pop,kollywood,tamil dance,tamil hip hop,telugu pop,tollywood","Sony Music Entertainment India Pvt. Ltd.",0.352,0.27,8,-7.859,1,0.0319,0.96,0.00011,0.092,0.381,149.539,3
spotify:track:7yk8CT3m3KI8u6DEWc3dFk,"Enna Nadanthalum","Meesaya Murukku (Original Motion Picture Soundtrack)","Hiphop Tamizha;Kaushik Krish",2017-07-28,245064,66,false,,2025-01-17T16:12:11Z,"tamil hip hop,tamil pop,kollywood,tamil dance,tamil indie","Think Music",0.733,0.752,6,-3.472,0,0.034,0.263,0,0.157,0.763,87.996,4
